Troy Lee
Francis R. Bach
Richard Combes
Lei Yuan
Yangqing Jia
Nicolas Heess
Makoto Yamada
Maxim Raginsky
Martin J. Wainwright
Nilesh N. Dalvi
Huy L. Nguyen
Jian Zhang
Shie Mannor
Tony Jebara
Oriol Vinyals
Ohad Shamir
Elad Hazan
Zeyuan Allen-Zhu
Yiming Ying
Xi Chen
Thomas Hofmann
Stefano Ermon
Cynthia Dwork
Yi Sun
Ming Liang
Philip M. Long
Yong Zhang
Richard Nock
Raman Arora
Hao Yu
Greg Ver Steeg
Tor Lattimore
Fan Yang
Jie Wang
Song Liu
Abhishek Sharma
Zhen He
Pan Li
Sivaraman Balakrishnan
Alex Graves
Ozgur Yilmaz
Koray Kavukcuoglu
Sheng Chen
Xiangyu Wang
Rong Ge
Phil Blunsom
Weizhu Chen
Li Xu
H. Brendan McMahan
Haim Avron
Mingyuan Zhou
Kenji Fukumizu
Yang Song
Tianqi Chen
Pascal Vincent
Wojciech Zaremba
Michal Feldman
Francesco Orabona
Julien Mairal
Sébastien Bubeck
Alexey Dosovitskiy
Yunpeng Pan
Daniel Golovin
Yuanqing Lin
Lijun Zhang
Zheng Wen
Bolei Zhou
Mehrdad Mahdavi
Qirong Ho
Min Yang
Mathias Niepert
Han Liu
Flavio Chierichetti
Alina Beygelzimer
Guangcan Liu
Yu Zhang
Alina Ene
Ashish Kapoor
Simon Lacoste-Julien
Tao Wu
João F. Henriques
Kamalika Chaudhuri
Yanjun Li
Pranjal Awasthi
Xin Zhang
Takayuki Osogami
Yi Ding
Omer Levy
Miguel Lázaro-Gredilla
Ricardo Henao
Sijia Liu
Wei Liu
Peter A. Flach
James Zou
Vitaly Feldman
Arya Mazumdar
Jimmy S. J. Ren
Eric Moulines
Di Wang
