197,197
140,74
94,94
178,74
57,112
28,113
13,173
13,112
13,128
13,130
118,41
151,46
151,199
151,41
151,154
112,20
112,15
112,7
112,89
203,112
2,145
29,41
175,87
146,79
61,129
82,82
194,79
179,79
81,1
15,41
15,3
15,105
40,79
99,17
99,32
133,7
143,71
62,13
92,92
92,204
113,8
145,124
7,124
41,41
41,105
108,183
108,108
7,7
120,54
41,169
41,93
9,194
9,124
92,18
112,199
3,41
190,41
104,25
84,92
84,205
84,69
187,175
144,78
161,41
161,23
161,3
161,105
99,203
99,112
99,25
106,69
13,13
126,35
126,209
58,41
58,209
58,55
58,210
155,92
155,204
155,69
17,152
111,61
111,114
104,51
104,18
121,108
183,41
183,105
85,173
109,41
109,105
109,176
19,19
112,74
23,23
45,41
45,3
45,105
173,173
66,137
66,132
66,66
205,92
175,175
70,112
21,21
21,88
183,124
183,182
41,92
41,204
6,97
71,71
183,12
183,183
23,41
110,41
42,44
42,42
42,54
42,68
42,108
147,203
25,25
193,46
10,10
7,132
79,79
43,12
44,124
148,47
46,55
53,53
116,99
116,116
101,202
101,67
101,37
0,205
0,41
0,204
0,93
11,124
114,129
138,46
138,68
27,182
27,63
1,1
196,159
196,27
196,196
196,171
35,209
38,175
14,125
116,64
116,26
21,98
54,12
54,54
29,29
166,87
200,74
200,172
32,185
32,156
139,192
76,25
76,173
102,66
102,149
102,127
178,92
178,93
79,124
209,41
209,199
209,105
112,84
189,168
112,112
198,121
198,183
198,42
198,12
198,124
198,44
153,25
93,52
93,205
93,93
92,93
162,75
51,203
51,92
51,25
51,99
51,147
56,25
56,189
56,2
56,117
69,92
194,194
194,39
194,124
13,124
80,13
4,182
18,69
18,25
48,41
128,173
49,32
188,209
188,154
90,158
110,198
37,152
37,182
37,4
50,92
201,92
201,133
170,92
124,124
124,43
124,54
124,12
177,41
177,3
177,183
177,105
93,71
171,67
171,27
171,4
74,28
2,203
100,61
42,46
44,43
44,44
46,46
46,191
131,163
154,199
176,41
176,48
176,191
135,104
135,25
79,33
178,83
178,116
24,53
24,167
74,172
208,142
178,41
178,209
1,195
15,199
15,154
183,121
183,74
30,32
56,15
122,180
202,92
202,202
202,204
202,169
202,93
202,69
94,112
96,182
34,196
74,46
33,95
42,43
42,12
42,124
117,154
141,41
54,183
54,108
86,79
150,71
195,92
195,208
134,92
134,73
134,142
184,79
184,166
184,87
125,71
125,13
171,159
171,171
95,97
5,93
32,32
207,173
165,199
165,27
165,196
120,36
120,210
120,163
52,152
78,124
78,115
65,87
179,164
147,181
147,84
147,158
147,174
147,132
64,64
156,185
186,13
186,124
186,22
25,156
72,175
72,114
72,87
160,119
77,92
107,107
55,199
55,27
55,34
55,117
55,55
55,171
55,63
55,19
66,105
39,46
157,167
71,1
71,167
34,34
123,57
123,203
123,99
123,59
123,51
123,2
16,41
173,112
173,1
173,25
103,130
22,124
110,119
198,81
198,25
91,113
91,25
102,46
102,189
206,87
210,36
110,110
60,136
66,63
31,152
31,37
163,41
163,15
22,37
89,20
37,129
46,99
128,124
